path,rel_path,label
data/raw/butterfly-image-classification/test/Image_1450.jpg,test/Image_1450.jpg,test
data/raw/butterfly-image-classification/test/Image_731.jpg,test/Image_731.jpg,test
data/raw/butterfly-image-classification/test/Image_2325.jpg,test/Image_2325.jpg,test
data/raw/butterfly-image-classification/test/Image_2326.jpg,test/Image_2326.jpg,test
data/raw/butterfly-image-classification/test/Image_2213.jpg,test/Image_2213.jpg,test
data/raw/butterfly-image-classification/test/Image_298.jpg,test/Image_298.jpg,test
data/raw/butterfly-image-classification/test/Image_115.jpg,test/Image_115.jpg,test
data/raw/butterfly-image-classification/test/Image_753.jpg,test/Image_753.jpg,test
data/raw/butterfly-image-classification/test/Image_2587.jpg,test/Image_2587.jpg,test
data/raw/butterfly-image-classification/test/Image_1697.jpg,test/Image_1697.jpg,test
data/raw/butterfly-image-classification/test/Image_327.jpg,test/Image_327.jpg,test
data/raw/butterfly-image-classification/test/Image_1604.jpg,test/Image_1604.jpg,test
data/raw/butterfly-image-classification/test/Image_226.jpg,test/Image_226.jpg,test
data/raw/butterfly-image-classification/test/Image_856.jpg,test/Image_856.jpg,test
data/raw/butterfly-image-classification/test/Image_895.jpg,test/Image_895.jpg,test
data/raw/butterfly-image-classification/test/Image_577.jpg,test/Image_577.jpg,test
data/raw/butterfly-image-classification/test/Image_2750.jpg,test/Image_2750.jpg,test
data/raw/butterfly-image-classification/test/Image_223.jpg,test/Image_223.jpg,test
data/raw/butterfly-image-classification/test/Image_334.jpg,test/Image_334.jpg,test
data/raw/butterfly-image-classification/test/Image_1542.jpg,test/Image_1542.jpg,test
data/raw/butterfly-image-classification/test/Image_2127.jpg,test/Image_2127.jpg,test
data/raw/butterfly-image-classification/test/Image_268.jpg,test/Image_268.jpg,test
data/raw/butterfly-image-classification/test/Image_1373.jpg,test/Image_1373.jpg,test
data/raw/butterfly-image-classification/test/Image_447.jpg,test/Image_447.jpg,test
data/raw/butterfly-image-classification/test/Image_2755.jpg,test/Image_2755.jpg,test
data/raw/butterfly-image-classification/test/Image_2784.jpg,test/Image_2784.jpg,test
data/raw/butterfly-image-classification/test/Image_420.jpg,test/Image_420.jpg,test
data/raw/butterfly-image-classification/test/Image_945.jpg,test/Image_945.jpg,test
data/raw/butterfly-image-classification/test/Image_909.jpg,test/Image_909.jpg,test
data/raw/butterfly-image-classification/test/Image_748.jpg,test/Image_748.jpg,test
data/raw/butterfly-image-classification/test/Image_12.jpg,test/Image_12.jpg,test
data/raw/butterfly-image-classification/test/Image_2245.jpg,test/Image_2245.jpg,test
data/raw/butterfly-image-classification/test/Image_2400.jpg,test/Image_2400.jpg,test
data/raw/butterfly-image-classification/test/Image_311.jpg,test/Image_311.jpg,test
data/raw/butterfly-image-classification/test/Image_1568.jpg,test/Image_1568.jpg,test
data/raw/butterfly-image-classification/test/Image_456.jpg,test/Image_456.jpg,test
data/raw/butterfly-image-classification/test/Image_994.jpg,test/Image_994.jpg,test
